DoD,ESR at 0C,ESR at 10C,ESR at 20C,ESR at 30C,ESR at 40C,ESR at 50C
0,0.2857,0.190466667,0.126977778,0.084651852,0.056434568,0.037623045
0.4104,0.2924,0.194933333,0.129955556,0.086637037,0.057758025,0.03850535
5.2389,0.305,0.203333333,0.135555556,0.09037037,0.060246914,0.040164609
10.0674,0.3242,0.216133333,0.144088889,0.096059259,0.064039506,0.042693004
14.8959,0.3435,0.229,0.152666667,0.101777778,0.067851852,0.045234568
19.7272,0.3602,0.240133333,0.160088889,0.106725926,0.071150617,0.047433745
24.5656,0.3706,0.247066667,0.164711111,0.109807407,0.073204938,0.048803292
29.404,0.381,0.254,0.169333333,0.112888889,0.075259259,0.05017284
34.2424,0.3915,0.261,0.174,0.116,0.077333333,0.051555556
39.0793,0.4036,0.269066667,0.179377778,0.119585185,0.079723457,0.053148971
43.915,0.4169,0.277933333,0.185288889,0.123525926,0.082350617,0.054900412
48.7445,0.4355,0.290333333,0.193555556,0.129037037,0.086024691,0.057349794
53.5597,0.4598,0.306533333,0.204355556,0.136237037,0.090824691,0.060549794
58.3228,0.5054,0.336933333,0.224622222,0.149748148,0.099832099,0.066554733
63.0721,0.5547,0.3698,0.246533333,0.164355556,0.10957037,0.073046914
67.7781,0.6135,0.409,0.272666667,0.181777778,0.121185185,0.080790123
72.2556,0.7035,0.469,0.312666667,0.208444444,0.138962963,0.092641975
76.1753,0.852,0.568,0.378666667,0.252444444,0.168296296,0.112197531
79.601,1.0259,0.683933333,0.455955556,0.30397037,0.202646914,0.135097942
82.3878,1.2327,0.8218,0.547866667,0.365244444,0.243496296,0.162330864
84.6876,1.4537,0.969133333,0.646088889,0.430725926,0.287150617,0.191433745
86.6211,1.6856,1.123733333,0.749155556,0.499437037,0.332958025,0.221972016
88.1917,1.9243,1.282866667,0.855244444,0.570162963,0.380108642,0.253405761
89.5757,2.1666,1.4444,0.962933333,0.641955556,0.42797037,0.28531358
90.7544,2.4118,1.607866667,1.071911111,0.714607407,0.476404938,0.317603292
91.9289,2.6571,1.7714,1.180933333,0.787288889,0.524859259,0.349906173
100,5.5,3.666666667,2.444444444,1.62962963,1.086419753,0.724279835
